dataset,target_key,target_label,unit,feature_set,validation_design,model_variant,model_display_name,repeat_count,prediction_rows,publication_count,mae_mean,mae_sd,rmse_mean,rmse_sd,bias_mean,r2_mean,r2_sd,macro_publication_mae_mean,macro_publication_mae_sd,source_seen_fraction_mean
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,random_intercept_rf_conditional,Conditional random-intercept RF,5,608.0,75.0,13.203592026163696,0.4157499788158206,17.373467709410516,0.4702970013122205,1.7611657126689395,-0.0462196599793322,0.0565966654173935,11.937870735635505,0.4027510736876483,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,random_intercept_rf_marginal,Marginal random-intercept RF,5,608.0,75.0,13.203592026163696,0.4157499788158206,17.373467709410516,0.4702970013122205,1.7611657126689395,-0.0462196599793322,0.0565966654173935,11.937870735635505,0.4027510736876483,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,5,608.0,75.0,13.225741316099413,0.4081204634100185,17.362790294826237,0.466953290061497,1.5970322587470596,-0.0449261485170322,0.0561994704046944,11.982691592383508,0.3934227261133283,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,tuned_rf_reference,Tuned Random Forest,5,608.0,75.0,12.728856527152107,0.336581426475487,16.972244980676173,0.4506703126537353,1.982510483705069,0.0015672431716355,0.0531418769971042,11.688655942082274,0.4283244691052492,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,random_intercept_rf_conditional,Conditional random-intercept RF,5,608.0,75.0,8.030926258396551,0.1960848582888189,11.895759297740984,0.2968898646058634,0.0348152702505305,0.5095485422382671,0.024142123949191,8.156103424281417,0.2377671459406075,0.9861842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,random_intercept_rf_marginal,Marginal random-intercept RF,5,608.0,75.0,8.030926258396551,0.1960848582888189,11.895759297740984,0.2968898646058634,0.0348152702505305,0.5095485422382671,0.024142123949191,8.156103424281417,0.2377671459406075,0.9861842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,matched_fixed_rf,Matched fixed Random Forest,5,608.0,75.0,8.067188829125678,0.1942620626694473,11.899026273785676,0.300826731284084,-0.2252600633554082,0.5092727292104422,0.0244687659833137,8.216349924140726,0.2351722436003492,0.9861842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,tuned_rf_reference,Tuned Random Forest,5,608.0,75.0,7.7166622338976865,0.2223433817182389,11.78006424548234,0.419144070757805,-0.0710772064190884,0.5187948324788337,0.0338287718669442,7.868645936886443,0.2456535795953398,0.9861842105263158
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,random_intercept_rf_conditional,Conditional random-intercept RF,5,286.0,54.0,293.09943614597887,6.055392233505039,380.0109907086221,2.530638422806322,-41.08312332933408,0.151268029072269,0.0113108310787543,286.3172991310124,8.419762852523874,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,random_intercept_rf_marginal,Marginal random-intercept RF,5,286.0,54.0,293.09943614597887,6.055392233505039,380.0109907086221,2.530638422806322,-41.08312332933408,0.151268029072269,0.0113108310787543,286.3172991310124,8.419762852523874,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,5,286.0,54.0,293.22976258698105,5.9768973740392894,380.3913463115205,2.5810332941590364,-44.73555005606365,0.1495670246601075,0.0115378445450926,285.6153087294477,8.285869013710053,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,publication_grouped,tuned_rf_reference,Tuned Random Forest,5,286.0,54.0,293.3659734491267,10.402555828655895,382.3385988317005,8.231788745415287,-51.45308398154954,0.1405509217833587,0.0368940585302383,291.57571945197634,10.349816848367402,0.0
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,random_intercept_rf_conditional,Conditional random-intercept RF,5,286.0,54.0,118.77643193099318,2.800488968357778,197.663357189638,4.494254461518475,5.886937724497079,0.7702821464400995,0.0103456110378554,147.7093337982027,5.3676255447948575,0.9573426573426572
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,random_intercept_rf_marginal,Marginal random-intercept RF,5,286.0,54.0,124.61478608715144,2.2884748752025854,204.14683417230427,4.014348653775563,6.504464348000717,0.7549907607893619,0.0096182237811759,158.99714908796517,3.733767912352551,0.9573426573426572
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,matched_fixed_rf,Matched fixed Random Forest,5,286.0,54.0,124.15547912282486,2.151416406776456,203.92501311426503,3.817720911922964,4.960951398186363,0.755529989884596,0.0091472799069398,158.4757492732041,3.739139616055288,0.9573426573426572
filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,random_rowwise,tuned_rf_reference,Tuned Random Forest,5,286.0,54.0,110.09041378703589,4.041051112044516,185.49901282715263,8.9678473818659,-1.059144865169679,0.7973916647374907,0.0196323230628139,141.97649668224656,5.2549253985749775,0.9573426573426572
